([Action(name='c', args={'filters': 32, 'kernel_size': 7, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.551)
([Action(name='c', args={'filters': 1, 'kernel_size': 5, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-08})], 0.087)
([Action(name='c', args={'filters': 16, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.527)
([Action(name='c', args={'filters': 64, 'kernel_size': 3, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.0001})], 0.488)
([Action(name='c', args={'filters': 64, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-06})], 0.183)
([Action(name='c', args={'filters': 32, 'kernel_size': 5, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.1})], 0.112)
([Action(name='c', args={'filters': 64, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.105)
([Action(name='c', args={'filters': 1, 'kernel_size': 3, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.092)
([Action(name='c', args={'filters': 16, 'kernel_size': 5, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.534)
([Action(name='c', args={'filters': 8, 'kernel_size': 3, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.31)
([Action(name='c', args={'filters': 16, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-05})], 0.201)
([Action(name='c', args={'filters': 8, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.139)
([Action(name='c', args={'filters': 32, 'kernel_size': 7, 'strides': 2, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.565)
([Action(name='c', args={'filters': 64, 'kernel_size': 7, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-08})], 0.11)
([Action(name='c', args={'filters': 64, 'kernel_size': 3, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.608)
([Action(name='c', args={'filters': 16, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.001})], 0.533)
([Action(name='c', args={'filters': 8, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.0001})], 0.367)
([Action(name='c', args={'filters': 8, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.358)
([Action(name='c', args={'filters': 1, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.01})], 0.309)
([Action(name='c', args={'filters': 16, 'kernel_size': 5, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.1})], 0.113)
([Action(name='c', args={'filters': 16, 'kernel_size': 3, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 1e-07})], 0.105)
([Action(name='c', args={'filters': 16, 'kernel_size': 7, 'strides': 3, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.0001})], 0.437)
([Action(name='c', args={'filters': 8, 'kernel_size': 7, 'strides': 1, 'padding': 'SAME', 'activation': 'relu'}), Action(name='f', args={}), Action(name='o', args={'units': 10}), Action(name='lr', args={'lr': 0.1})], 0.105)
