,Linear,LSTM,MLP,Random
1,0.113,0.592,0.096,0.112
2,0.195,0.717,0.113,0.079
3,0.254,0.478,0.113,0.098
4,0.092,0.543,0.1,0.098
5,0.295,0.526,0.135,0.099
6,0.079,0.446,0.111,0.112
7,0.101,0.336,0.122,0.098
8,0.108,0.462,0.082,0.107
9,0.108,0.451,0.105,0.078
10,0.105,0.482,0.086,0.105
11,0.113,0.447,0.088,0.115
12,0.081,0.187,0.127,0.098
13,0.108,0.447,0.279,0.079
14,0.079,0.478,0.133,0.078
15,0.229,0.32,0.073,0.112
16,0.261,0.201,0.37,0.119
17,0.232,0.226,0.244,0.107
18,0.098,0.298,0.21,0.112
19,0.123,0.263,0.15,0.112
20,0.105,0.429,0.093,0.078
21,0.13,0.218,0.128,0.113
22,0.121,0.339,0.112,0.087
23,0.104,0.204,0.093,0.105
24,0.1,0.307,0.095,0.092
25,0.113,0.24,0.108,0.117
26,0.08,0.246,0.079,0.098
27,0.109,0.319,0.228,0.143
28,0.102,0.52,0.102,0.107
29,0.09,0.102,0.126,0.078
30,0.098,0.132,0.103,0.105
31,0.078,0.192,0.119,0.107
32,0.128,0.121,0.098,0.098
33,0.081,0.11,0.106,0.09
34,0.102,0.19,0.119,0.078
35,0.087,0.415,0.083,0.105
36,0.079,0.43,0.091,0.098
37,0.078,0.208,0.202,0.112
38,0.113,0.444,0.112,0.113
39,0.079,0.323,0.103,0.078
40,0.078,0.207,0.069,0.105
41,0.087,0.427,0.093,0.095
42,0.078,0.41,0.105,0.112
43,0.087,0.237,0.233,0.102
44,0.102,0.232,0.113,0.113
45,0.1,0.225,0.09,0.105
46,0.137,0.386,0.079,0.112
47,0.077,0.201,0.198,0.105
48,0.112,0.366,0.105,0.273
49,0.107,0.243,0.08,0.113
50,0.143,0.519,0.081,0.098
51,0.103,0.295,0.102,0.113
52,0.12,0.434,0.094,0.113
53,0.082,0.189,0.133,0.078
54,0.077,0.214,0.102,0.079
55,0.098,0.255,0.17,0.104
56,0.119,0.212,0.111,0.098
57,0.077,0.205,0.162,0.087
58,0.087,0.186,0.12,0.119
59,0.135,0.203,0.079,0.079
60,0.084,0.149,0.185,0.087
61,0.107,0.198,0.112,0.098
62,0.094,0.187,0.1,0.113
63,0.107,0.182,0.16,0.087
64,0.113,0.274,0.078,0.087
65,0.105,0.214,0.102,0.107
66,0.095,0.438,0.126,0.119
67,0.094,0.208,0.112,0.112
68,0.126,0.184,0.079,0.087
69,0.123,0.2,0.102,0.107
70,0.105,0.418,0.106,0.078
71,0.145,0.4,0.306,0.119
72,0.086,0.44,0.166,0.098
73,0.105,0.445,0.111,0.078
74,0.112,0.456,0.144,0.105
75,0.134,0.192,0.107,0.102
76,0.071,0.235,0.097,0.079
77,0.129,0.423,0.119,0.107
78,0.1,0.189,0.128,0.112
79,0.082,0.186,0.087,0.088
80,0.106,0.205,0.321,0.107
81,0.119,0.206,0.351,0.078
82,0.213,0.218,0.119,0.087
83,0.124,0.22,0.168,0.078
84,0.117,0.203,0.144,0.078
85,0.11,0.239,0.437,0.079
86,0.079,0.282,0.085,0.105
87,0.14,0.18,0.115,0.079
88,0.107,0.247,0.077,0.117
89,0.08,0.24,0.112,0.102
90,0.118,0.207,0.078,0.113
91,0.078,0.254,0.33,0.104
92,0.117,0.263,0.075,0.111
93,0.115,0.182,0.132,0.112
94,0.153,0.193,0.09,0.119
95,0.081,0.27,0.144,0.105
96,0.078,0.187,0.352,0.119
97,0.136,0.199,0.099,0.079
98,0.105,0.24,0.404,0.112
99,0.089,0.206,0.109,0.119
100,0.119,0.206,0.078,0.098
